Designator,Mid X,Mid Y,Rotation,Layer
RV3,126.251966,-78.776442,90.0,top
RV4,82.943367,-57.473866,180.0,top
RV5,82.947186,-99.497956,180.0,top
RV6,136.304366,-78.775413,90.0,top
RV7,146.359362,-78.775724,90.0,top
RV9,156.428676,-78.781801,90.0,top
SW1,131.0,-42.0,270.0,top
TF1,49.746157,-189.45,0.0,top
U1,141.745,-36.735,90.0,top
U10,167.0275,-137.525,180.0,top
U2,151.6321,-191.4431,90.0,top
U3,146.9,-141.55,270.0,top
U4,43.4175,-156.135,90.0,top
U5,99.811157,-171.288657,270.0,top
U6,77.13875,-37.78375,90.0,top
U7,105.5625,-141.1,270.0,top
U8,63.2375,-142.575,90.0,top
U9,82.145,-180.245,270.0,top
USBC1,166.943591,-195.545,0.0,top
VR1,169.425,-43.575,270.0,top
VR2,38.825,-43.45,90.0,top
